Drug1,Drug2,Drug3,Score
topotecan,tamoxifen,hct116,-0.3639
vemurafenib_hct,cabazitaxel,hct116,-0.5637
mitoxantrone,abiraterone,hct116,-0.4378
aminolevulinicacid,mitoxantrone,hct116,-0.4137
floxuridine,altretamine,hct116,-0.4575
thioguanine,altretamine,hct116,-0.4453
topotecan,sunitinib,hct116,-0.416
crizotinib,teniposide_hct,hct116,-0.1642
topotecan,doxorubicin,hct116,-0.3806
procarbazine,mitoxantrone,hct116,-0.432
streptozocin,dexrazoxane,hct116,-0.1995
estramustinephosphatesodium,dexrazoxane,hct116,-0.2306
dexrazoxane,gefitinib,hct116,-0.1703
floxuridine,raloxifene,hct116,-0.3819
valrubicin,dexrazoxane,hct116,-0.2732
dexrazoxane,abiraterone,hct116,-0.2228
dexrazoxane,vandetanib,hct116,-0.2651
dacarbazine,dexrazoxane,hct116,-0.2264
dexrazoxane,vismodegib,hct116,-0.2719
allopurinol,dexrazoxane,hct116,-0.2894
docetaxel,abiraterone,hct116,-0.3893
altretamine,dexrazoxane,hct116,-0.2869
procarbazine,dexrazoxane,hct116,-0.2208
sunitinib,dexrazoxane,hct116,-0.2942
docetaxel,vemurafenib_hct,hct116,-0.5044
gemcitabine_hct,temozolomide_hct,hct116,-0.2688
sirolimus,abiraterone,hct116,-0.2391
decitabine,letrozole,hct116,-0.239
procarbazine,busulfan,hct116,-0.0496
axitinib,abiraterone,hct116,-0.1337
sunitinib,sirolimus,hct116,-0.0513
fulvestrant,celecoxib,hct116,-0.046
imiquimod_hct,hydroxyurea,hct116,-0.089
vinblastine,vorinostat,hct116,0.4651
adavosertib,lapatinib,hct116,-0.1712
adavosertib,erlotinib,hct116,-0.1409
temozolomide_hct,erlotinib,hct116,-0.1792
lapatinib,mk2206_hct,hct116,-0.1495
fluorouracil,cabazitaxel,hct116,-0.271
cytarabine,methotrexate,hct116,-0.1088
methotrexate,valrubicin,hct116,-0.2325
ixabepilone,cytarabine,hct116,-0.1725
pemetrexed,cabazitaxel,hct116,-0.2141
clofarabine,fluorouracil,hct116,-0.0884
mitoxantrone,cabazitaxel,hct116,-0.322
methotrexate,pemetrexed,hct116,-0.0781
cladribine,methotrexate,hct116,-0.2144
fluorouracil,vinorelbine,hct116,-0.0702
mercaptopurine,fluorouracil,hct116,-0.0508
romidepsin,cabazitaxel,hct116,-0.017
ixabepilone,paclitaxel,hct116,-0.3446
fluorouracil,teniposide_hct,hct116,-0.0653
azacitidine,valrubicin,hct116,-0.0837
mepacrine,fluorouracil,hct116,-0.0868
vinblastine,fluorouracil,hct116,-0.1278
romidepsin,cytarabine,hct116,-0.1286
sorafenib,fluorouracil,hct116,-0.12
dexrazoxane,cabazitaxel,hct116,-0.4149
methotrexate,mitoxantrone,hct116,-0.0762
floxuridine,mitoxantrone,hct116,-0.0384
gemcitabine_hct,cytarabine,hct116,-0.0417
fluorouracil,gefitinib,hct116,-0.372
vorinostat,cabazitaxel,hct116,-0.3637
methotrexate,etoposide,hct116,-0.2481
clofarabine,methotrexate,hct116,-0.2805
valrubicin,cladribine,hct116,-0.1541
fludarabine,fluorouracil,hct116,-0.3598
bortezomib,cytarabine,hct116,-0.2083
floxuridine,thioguanine,hct116,-0.1492
mepacrine,cytarabine,hct116,-0.197
vinblastine,mitoxantrone,hct116,-0.0738
cladribine,cytarabine,hct116,-0.155
fluorouracil,megestrolacetate,hct116,-0.4992
cytarabine,dactinomycin,hct116,-0.0654
methotrexate,sunitinib,hct116,-0.4626
fluorouracil,axitinib,hct116,-0.4022
valrubicin,floxuridine,hct116,-0.1988
fluorouracil,lenalidomide_hct,hct116,-0.5054
bortezomib,topotecan,hct116,-0.1335
dexrazoxane,pemetrexed,hct116,-0.2615
bortezomib,fluorouracil,hct116,-0.4731
azacitidine,cabazitaxel,hct116,-0.635
floxuridine,vinorelbine,hct116,-0.182
vorinostat,valrubicin,hct116,-0.2245
fluorouracil,doxorubicin,hct116,-0.4661
romidepsin,exemestane,hct116,-0.2111
vorinostat,cytarabine,hct116,-0.2093
allopurinol,fluorouracil,hct116,-0.5137
floxuridine,exemestane,hct116,-0.3853
teniposide_hct,mitoxantrone,hct116,-0.1379
cytarabine,floxuridine,hct116,-0.2473
azacitidine,romidepsin,hct116,-0.4099
mitoxantrone,doxorubicin,hct116,-0.4992
methotrexate,chlorambucil,hct116,-0.324
cytarabine,etoposide,hct116,-0.0056
imiquimod_hct,fluorouracil,hct116,-0.5634
capecitabine,methotrexate,hct116,-0.429
streptozocin,fluorouracil,hct116,-0.4658
imiquimod_hct,cabazitaxel,hct116,-0.4917
decitabine,mitoxantrone,hct116,-0.2479
altretamine,fluorouracil,hct116,-0.5611
floxuridine,teniposide_hct,hct116,-0.1346
nilotinib,fluorouracil,hct116,-0.5708
clofarabine,cytarabine,hct116,-0.2052
dexrazoxane,mitoxantrone,hct116,-0.2449
anastrozole,cabazitaxel,hct116,-0.5113
sirolimus,thioguanine,hct116,-0.1846
cabazitaxel,abiraterone,hct116,-0.7071
decitabine,cytarabine,hct116,-0.3508
vinorelbine,doxorubicin,hct116,-0.5335
fludarabine,pemetrexed,hct116,-0.3554
streptozocin,methotrexate,hct116,-0.5484
vemurafenib_hct,fluorouracil,hct116,-0.5864
celecoxib,cabazitaxel,hct116,-0.5858
thioguanine,dexrazoxane,hct116,-0.2013
nilotinib,cabazitaxel,hct116,-0.6909
celecoxib,pemetrexed,hct116,-0.3964
thioguanine,daunorubicin,hct116,-0.1283
fulvestrant,fluorouracil,hct116,-0.438
azacitidine,pemetrexed,hct116,-0.2593
methotrexate,crizotinib,hct116,-0.3559
ixabepilone,cabazitaxel,hct116,-0.5466
daunorubicin,mitoxantrone,hct116,-0.0738
bortezomib,cabazitaxel,hct116,-0.4936
cyclophosphamide,valrubicin,hct116,-0.5575
imatinib,cytarabine,hct116,-0.4481
aminolevulinicacid,fluorouracil,hct116,-0.507
mepacrine,gemcitabine_hct,hct116,-0.1485
cabazitaxel,ruxolitinib,hct116,-0.6908
floxuridine,chlorambucil,hct116,-0.2954
bendamustine,fluorouracil,hct116,-0.4769
azacitidine,thioguanine,hct116,-0.1818
cabazitaxel,vismodegib,hct116,-0.6603
vinblastine,cytarabine,hct116,-0.4197
mercaptopurine,azacitidine,hct116,-0.0797
methotrexate,megestrolacetate,hct116,-0.4331
cyclophosphamide,cytarabine,hct116,-0.5036
bortezomib,cladribine,hct116,-0.2115
crizotinib,mitoxantrone,hct116,-0.3696
imatinib,fluorouracil,hct116,-0.5502
methotrexate,lenalidomide_hct,hct116,-0.4611
allopurinol,cytarabine,hct116,-0.5094
methotrexate,abiraterone,hct116,-0.4564
cladribine,dactinomycin,hct116,-0.126
mitoxantrone,axitinib,hct116,-0.335
clofarabine,axitinib,hct116,-0.2588
valrubicin,vinblastine,hct116,-0.3379
nilotinib,cytarabine,hct116,-0.4214
cabazitaxel,raloxifene,hct116,-0.6346
valrubicin,sunitinib,hct116,-0.5028
estramustinephosphatesodium,cytarabine,hct116,-0.5038
imiquimod_hct,valrubicin,hct116,-0.547
teniposide_hct,dexrazoxane,hct116,-0.1952
topotecan,vorinostat,hct116,-0.2657
tamoxifen,pemetrexed,hct116,-0.4577
erlotinib,pemetrexed,hct116,-0.4676
valrubicin,nilotinib,hct116,-0.5428
methotrexate,vemurafenib_hct,hct116,-0.4627
bortezomib,mercaptopurine,hct116,-0.3734
imiquimod_hct,pemetrexed,hct116,-0.4771
valrubicin,imatinib,hct116,-0.5292
fulvestrant,thioguanine,hct116,-0.3632
floxuridine,gefitinib,hct116,-0.4107
thioguanine,gefitinib,hct116,-0.374
estramustinephosphatesodium,thioguanine,hct116,-0.3353
ifosfamide,pemetrexed,hct116,-0.4877
cabazitaxel,vandetanib,hct116,-0.72
busulfan,mitoxantrone,hct116,-0.3687
vinblastine,dexrazoxane,hct116,-0.1617
streptozocin,cytarabine,hct116,-0.426
cyclophosphamide,mitoxantrone,hct116,-0.423
celecoxib,mitoxantrone,hct116,-0.4437
cyclophosphamide,thioguanine,hct116,-0.381
mepacrine,dexrazoxane,hct116,-0.1691
streptozocin,pemetrexed,hct116,-0.4571
topotecan,docetaxel,hct116,-0.3752
decitabine,dexrazoxane,hct116,-0.1532
thioguanine,lenalidomide_hct,hct116,-0.4525
thioguanine,vandetanib,hct116,-0.3968
topotecan,busulfan,hct116,-0.4061
mitoxantrone,raloxifene,hct116,-0.3961
dasatinib,mitoxantrone,hct116,-0.3905
floxuridine,axitinib,hct116,-0.3383
vinorelbine,crizotinib,hct116,-0.2272
methotrexate,vandetanib,hct116,-0.4007
mitoxantrone,vandetanib,hct116,-0.4884
topotecan,floxuridine,hct116,-0.2563
methotrexate,vismodegib,hct116,-0.4466
thioguanine,pazopanib,hct116,-0.3838
valrubicin,thioguanine,hct116,-0.3944
allopurinol,mitoxantrone,hct116,-0.4303
nilotinib,thioguanine,hct116,-0.4095
chlorambucil,dexrazoxane,hct116,-0.0399
methotrexate,ruxolitinib,hct116,-0.4327
thioguanine,raloxifene,hct116,-0.4421
vemurafenib_hct,mitoxantrone,hct116,-0.4857
erlotinib,mitoxantrone,hct116,-0.4829
daunorubicin,dexrazoxane,hct116,-0.1539
bendamustine,pemetrexed,hct116,-0.4811
paclitaxel,vemurafenib_hct,hct116,-0.4798
sunitinib,mitoxantrone,hct116,-0.4397
lapatinib,mitoxantrone,hct116,-0.5082
valrubicin,lapatinib,hct116,-0.5129
decitabine,mepacrine,hct116,-0.2527
topotecan,hydroxyurea,hct116,-0.4877
floxuridine,vemurafenib_hct,hct116,-0.4121
imatinib,mitoxantrone,hct116,-0.5556
decitabine,dactinomycin,hct116,-0.0765
nelarabine,mitoxantrone,hct116,-0.5033
topotecan,bendamustine,hct116,-0.4743
topotecan,clofarabine,hct116,-0.375
topotecan,pralatrexate,hct116,-0.4574
mitotane,mitoxantrone,hct116,-0.432
azacitidine,etoposide,hct116,-0.1631
mercaptopurine,dactinomycin,hct116,-0.3719
nelarabine,thioguanine,hct116,-0.44
etoposide,gefitinib,hct116,-0.3411
romidepsin,vismodegib,hct116,-0.2959
topotecan,letrozole,hct116,-0.4569
crizotinib,dexrazoxane,hct116,-0.0941
hydroxyurea,teniposide_hct,hct116,-0.3328
thalidomide_hct,valrubicin,hct116,-0.5423
topotecan,sirolimus,hct116,-0.471
paclitaxel,imatinib,hct116,-0.1771
tamoxifen,mitoxantrone,hct116,-0.4791
fludarabine,teniposide_hct,hct116,-0.2118
paclitaxel,clofarabine,hct116,0.0772
fludarabine,dexrazoxane,hct116,-0.1124
floxuridine,ruxolitinib,hct116,-0.4141
vinorelbine,axitinib,hct116,-0.3676
bortezomib,fulvestrant,hct116,-0.4743
mitotane,cladribine,hct116,-0.2027
mitoxantrone,pazopanib,hct116,-0.4766
thioguanine,ruxolitinib,hct116,-0.381
bortezomib,letrozole,hct116,-0.4406
gemcitabine_hct,exemestane,hct116,-0.3245
azacitidine,dexrazoxane,hct116,-0.1544
megestrolacetate,etoposide,hct116,-0.3628
vinorelbine,ruxolitinib,hct116,-0.4363
tamoxifen,vinorelbine,hct116,-0.399
topotecan,mitotane,hct116,-0.4224
cladribine,dexrazoxane,hct116,-0.1742
exemestane,vemurafenib_hct,hct116,-0.2811
bortezomib,anastrozole,hct116,-0.4771
sunitinib,etoposide,hct116,-0.2609
dactinomycin,thioguanine,hct116,-0.5127
paclitaxel,pazopanib,hct116,-0.5426
valrubicin,vinorelbine,hct116,-0.3042
mitotane,dexrazoxane,hct116,-0.3171
vinblastine,gefitinib,hct116,-0.2989
mercaptopurine,gefitinib,hct116,-0.1976
mercaptopurine,crizotinib,hct116,-0.0842
vinorelbine,vandetanib,hct116,-0.4142
vemurafenib_hct,exemestane,hct116,-0.3434
erlotinib,topotecan,hct116,-0.4588
letrozole,etoposide,hct116,-0.3495
erlotinib,dexrazoxane,hct116,-0.3094
lapatinib,paclitaxel,hct116,-0.3859
azacitidine,fludarabine,hct116,-0.2096
capecitabine,etoposide,hct116,-0.3237
erlotinib,teniposide_hct,hct116,-0.3569
chlorambucil,crizotinib,hct116,-0.0957
fulvestrant,dexrazoxane,hct116,-0.278
docetaxel,pazopanib,hct116,-0.3664
imatinib,dexrazoxane,hct116,-0.3206
cyclophosphamide,dactinomycin,hct116,-0.1929
ifosfamide,dexrazoxane,hct116,-0.3016
valrubicin,exemestane,hct116,-0.2794
docetaxel,thiotepa,hct116,-0.0903
decitabine,dacarbazine,hct116,-0.2545
mitotane,dactinomycin,hct116,-0.1632
mepacrine,vismodegib,hct116,-0.3483
fulvestrant,dactinomycin,hct116,-0.289
lapatinib,dactinomycin,hct116,-0.1319
dexrazoxane,ruxolitinib,hct116,-0.282
dexrazoxane,pazopanib,hct116,-0.2874
decitabine,abiraterone,hct116,-0.2589
dactinomycin,dexrazoxane,hct116,-0.4273
sorafenib,megestrolacetate,hct116,-0.2645
thalidomide_hct,daunorubicin,hct116,-0.3183
bendamustine,vinorelbine,hct116,-0.323
imiquimod_hct,mercaptopurine,hct116,-0.4282
decitabine,vandetanib,hct116,-0.2275
bendamustine,dexrazoxane,hct116,-0.334
decitabine,docetaxel,hct116,-0.0895
dexrazoxane,raloxifene,hct116,-0.3047
docetaxel,vismodegib,hct116,-0.4559
gemcitabine_hct,daunorubicin,hct116,-0.1888
estramustinephosphatesodium,floxuridine,hct116,-0.2553
exemestane,raloxifene,hct116,-0.3236
pralatrexate,clofarabine,hct116,-0.7092
decitabine,vemurafenib_hct,hct116,-0.2394
doxorubicin,thiotepa,hct116,-0.2823
decitabine,bendamustine,hct116,-0.1053
decitabine,aminolevulinicacid,hct116,-0.1973
decitabine,allopurinol,hct116,-0.1619
decitabine,cyclophosphamide,hct116,-0.2251
sirolimus,vandetanib,hct116,-0.2243
decitabine,procarbazine,hct116,-0.2392
clofarabine,tamoxifen,hct116,-0.055
pralatrexate,raloxifene,hct116,-0.0337
decitabine,hydroxyurea,hct116,-0.1337
cladribine,crizotinib,hct116,-0.0729
lenalidomide_hct,crizotinib,hct116,-0.0336
pralatrexate,dacarbazine,hct116,0.0346
busulfan,altretamine,hct116,-0.0845
streptozocin,busulfan,hct116,-0.0408
clofarabine,anastrozole,hct116,-0.0614
decitabine,capecitabine,hct116,-0.1669
azacitidine,vismodegib,hct116,-0.1539
busulfan,vismodegib,hct116,-0.0671
doxorubicin,clofarabine,hct116,-0.2147
pralatrexate,tamoxifen,hct116,-0.7808
megestrolacetate,crizotinib,hct116,-0.0875
celecoxib,gefitinib,hct116,-0.0186
azacitidine,ruxolitinib,hct116,-0.18
crizotinib,abiraterone,hct116,-0.1351
gemcitabine_hct,crizotinib,hct116,-0.0543
bortezomib,gefitinib,hct116,-0.0298
azacitidine,raloxifene,hct116,-0.1776
busulfan,aminolevulinicacid,hct116,-0.1799
methoxsalen,crizotinib,hct116,-0.1388
dacarbazine,crizotinib,hct116,0.0035
busulfan,temozolomide_hct,hct116,-0.1463
nilotinib,crizotinib,hct116,-0.1134
cyclophosphamide,gefitinib,hct116,-0.0762
busulfan,hydroxyurea,hct116,-0.1395
estramustinephosphatesodium,aminolevulinicacid,hct116,-0.0767
dasatinib,axitinib,hct116,-0.0158
busulfan,letrozole,hct116,-0.1742
fludarabine,abiraterone,hct116,0.0719
busulfan,vemurafenib_hct,hct116,-0.1392
letrozole,gefitinib,hct116,-0.117
doxorubicin,sirolimus,hct116,-0.186
capecitabine,gefitinib,hct116,-0.1339
estramustinephosphatesodium,altretamine,hct116,0.0285
cyclophosphamide,axitinib,hct116,0.0232
gefitinib,vemurafenib_hct,hct116,-0.1175
capecitabine,crizotinib,hct116,-0.0813
celecoxib,dacarbazine,hct116,-0.1506
estramustinephosphatesodium,sunitinib,hct116,-0.0325
abiraterone,axitinib,hct116,-0.0728
mitotane,dasatinib,hct116,0.0387
dasatinib,abiraterone,hct116,-0.0224
sunitinib,fludarabine,hct116,-0.0488
valrubicin,axitinib,hct116,-0.1274
docetaxel,celecoxib,hct116,-0.1407
streptozocin,dasatinib,hct116,-0.0201
bendamustine,abiraterone,hct116,-0.0183
fulvestrant,sirolimus,hct116,-0.0313
thalidomide_hct,axitinib,hct116,-0.1164
cyclophosphamide,sirolimus,hct116,-0.0711
cyclophosphamide,lenalidomide_hct,hct116,0.0511
mitotane,abiraterone,hct116,-0.1554
mitotane,tamoxifen,hct116,-0.0238
celecoxib,altretamine,hct116,-0.0966
cyclophosphamide,dacarbazine,hct116,0.0098
allopurinol,dacarbazine,hct116,-0.0122
estramustinephosphatesodium,temozolomide_hct,hct116,-0.11
tamoxifen,axitinib,hct116,-0.0663
bortezomib,lenalidomide_hct,hct116,-0.0237
doxorubicin,lapatinib,hct116,-0.2579
gemcitabine_hct,abiraterone,hct116,-0.0564
cyclophosphamide,aminolevulinicacid,hct116,0.0342
dasatinib,temozolomide_hct,hct116,-0.0186
fulvestrant,dacarbazine,hct116,-0.0475
megestrolacetate,doxorubicin,hct116,0.0049
cyclophosphamide,abiraterone,hct116,-0.0542
lenalidomide_hct,abiraterone,hct116,-0.0216
allopurinol,abiraterone,hct116,-0.0199
estramustinephosphatesodium,vemurafenib_hct,hct116,0.0612
procarbazine,vismodegib,hct116,0.0513
dasatinib,celecoxib,hct116,-0.0268
allopurinol,dasatinib,hct116,-0.1428
fludarabine,letrozole,hct116,0.0222
dasatinib,imatinib,hct116,-0.0253
bortezomib,megestrolacetate,hct116,-0.0686
axitinib,vandetanib,hct116,-0.0893
estramustinephosphatesodium,celecoxib,hct116,-0.1732
streptozocin,pazopanib,hct116,0.1261
vinblastine,dasatinib,hct116,-0.0205
capecitabine,fludarabine,hct116,-0.0317
ixabepilone,vismodegib,hct116,-0.0546
streptozocin,sorafenib,hct116,-0.0341
imiquimod_hct,abiraterone,hct116,-0.0327
lenalidomide_hct,pazopanib,hct116,0.0158
doxorubicin,letrozole,hct116,-0.2891
erlotinib,dacarbazine,hct116,-0.0786
mitotane,vismodegib,hct116,-0.1231
procarbazine,temozolomide_hct,hct116,0.0433
doxorubicin,celecoxib,hct116,-0.3193
mitotane,temozolomide_hct,hct116,0.0128
erlotinib,sunitinib,hct116,0.0258
abiraterone,vismodegib,hct116,-0.0791
dactinomycin,abiraterone,hct116,-0.4004
nilotinib,lenalidomide_hct,hct116,-0.0588
megestrolacetate,vismodegib,hct116,-0.0228
imiquimod_hct,procarbazine,hct116,0.0779
ixabepilone,altretamine,hct116,-0.0151
temozolomide_hct,abiraterone,hct116,-0.0294
streptozocin,altretamine,hct116,0.0512
fulvestrant,vemurafenib_hct,hct116,-0.0171
vemurafenib_hct,abiraterone,hct116,-0.0315
procarbazine,megestrolacetate,hct116,0.0235
gemcitabine_hct,pazopanib,hct116,-0.0279
anastrozole,abiraterone,hct116,-0.0726
streptozocin,pralatrexate,hct116,0.0104
hydroxyurea,vemurafenib_hct,hct116,-0.0437
temozolomide_hct,lenalidomide_hct,hct116,-0.0777
mitotane,raloxifene,hct116,-0.1249
nilotinib,mitotane,hct116,-0.0278
tamoxifen,vismodegib,hct116,0.0041
tamoxifen,letrozole,hct116,-0.0267
sunitinib,vandetanib,hct116,-0.0135
letrozole,megestrolacetate,hct116,-0.0868
anastrozole,lenalidomide_hct,hct116,-0.048
allopurinol,ruxolitinib,hct116,-0.0092
nelarabine,mitotane,hct116,-0.0617
methoxsalen,bendamustine,hct116,-0.0088
erlotinib,hydroxyurea,hct116,-0.0106
altretamine,vismodegib,hct116,-0.0505
methoxsalen,nelarabine,hct116,0.0155
vinblastine,lapatinib,hct116,-0.0666
bendamustine,megestrolacetate,hct116,-0.0495
pazopanib,vandetanib,hct116,-0.0927
erlotinib,altretamine,hct116,-0.0214
ifosfamide,methoxsalen,hct116,-0.01
vandetanib,pazopanib,hct116,-0.0823
erlotinib,anastrozole,hct116,-0.0705
allopurinol,nelarabine,hct116,-0.0912
imatinib,ruxolitinib,hct116,-0.0035
ifosfamide,anastrozole,hct116,0.0164
hydroxyurea,raloxifene,hct116,0.0142
vinblastine,imatinib,hct116,-0.0548
nilotinib,vinblastine,hct116,-0.0271
bendamustine,altretamine,hct116,0.0244
lapatinib,ruxolitinib,hct116,-0.0075
dactinomycin,vemurafenib_hct,hct116,-0.4888
imiquimod_hct,letrozole,hct116,-0.1089
capecitabine,nelarabine,hct116,0.0496
imiquimod_hct,celecoxib,hct116,-0.0632
methotrexate,temozolomide_hct,hct116,0.2854
methotrexate,mk2206_hct,hct116,0.2046
methotrexate,erlotinib,hct116,0.1966
methotrexate,sunitinib,hct116,0.1914
methotrexate,veliparib,hct116,0.2722
methotrexate,sorafenib,hct116,0.153
methotrexate,adavosertib,hct116,0.2032
methotrexate,lapatinib,hct116,0.2228
methotrexate,vorinostat,hct116,0.1906
methotrexate,dasatinib,hct116,0.2857
paclitaxel,dasatinib,hct116,0.369
gemcitabine_hct,sorafenib,hct116,0.1367
gemcitabine_hct,mk2206_hct,hct116,0.1515
gemcitabine_hct,veliparib,hct116,0.2185
gemcitabine_hct,geldanamycin_hct,hct116,0.189
doxorubicin,veliparib,hct116,0.369
methotrexate,geldanamycin_hct,hct116,0.2227
gemcitabine_hct,dactolisib,hct116,0.1094
gemcitabine_hct,lapatinib,hct116,0.2382
gemcitabine_hct,temozolomide_hct,hct116,0.2207
gemcitabine_hct,dasatinib,hct116,0.1164
bortezomib,geldanamycin_hct,hct116,0.3372
paclitaxel,erlotinib,hct116,0.3949
doxorubicin,sunitinib,hct116,0.2312
gemcitabine_hct,erlotinib,hct116,0.1642
gemcitabine_hct,sunitinib,hct116,0.113
bortezomib,sorafenib,hct116,0.2665
methotrexate,dactolisib,hct116,0.2308
doxorubicin,sorafenib,hct116,0.2415
doxorubicin,mk2206_hct,hct116,0.3176
paclitaxel,lapatinib,hct116,0.3373
vinorelbine,lapatinib,hct116,0.3648
doxorubicin,temozolomide_hct,hct116,0.3911
doxorubicin,lapatinib,hct116,0.3047
doxorubicin,vorinostat,hct116,0.2045
vinorelbine,erlotinib,hct116,0.293
doxorubicin,erlotinib,hct116,0.2896
bortezomib,dactolisib,hct116,0.3358
paclitaxel,adavosertib,hct116,0.3472
paclitaxel,mk2206_hct,hct116,0.3583
gemcitabine_hct,adavosertib,hct116,0.1369
vinblastine,erlotinib,hct116,0.503
vinorelbine,temozolomide_hct,hct116,0.4375
vinorelbine,adavosertib,hct116,0.3168
bortezomib,veliparib,hct116,0.499
vinblastine,sorafenib,hct116,0.2978
vinorelbine,dactolisib,hct116,0.2681
vinblastine,dasatinib,hct116,0.7618
doxorubicin,adavosertib,hct116,0.2548
paclitaxel,dactolisib,hct116,0.3159
paclitaxel,sorafenib,hct116,0.1689
vinblastine,veliparib,hct116,0.7856
vinorelbine,vorinostat,hct116,0.2203
bortezomib,dasatinib,hct116,0.5483
paclitaxel,geldanamycin_hct,hct116,0.2728
bortezomib,topotecan,hct116,0.2813
vinblastine,mk2206_hct,hct116,0.7447
vinblastine,sunitinib,hct116,0.4089
paclitaxel,vorinostat,hct116,0.2298
vinorelbine,mk2206_hct,hct116,0.3567
paclitaxel,sunitinib,hct116,0.1436
vinblastine,adavosertib,hct116,0.5777
vinorelbine,dasatinib,hct116,0.4219
gemcitabine_hct,bortezomib,hct116,0.0381
vinorelbine,geldanamycin_hct,hct116,0.2247
paclitaxel,temozolomide_hct,hct116,0.441
doxorubicin,geldanamycin_hct,hct116,0.1913
doxorubicin,dasatinib,hct116,0.2906
vinorelbine,sorafenib,hct116,0.1372
vinorelbine,sunitinib,hct116,0.1405
vorinostat,temozolomide_hct,hct116,0.6076
vorinostat,sorafenib,hct116,0.2631
paclitaxel,veliparib,hct116,0.4322
dactolisib,sorafenib,hct116,0.2645
vinblastine,temozolomide_hct,hct116,0.9067
sunitinib,sorafenib,hct116,0.1702
vinorelbine,veliparib,hct116,0.3768
sunitinib,temozolomide_hct,hct116,0.4916
vinblastine,geldanamycin_hct,hct116,0.4564
topotecan,sorafenib,hct116,0.0714
ixabepilone,methotrexate,hct116,-0.085
methotrexate,bortezomib,hct116,0.0457
geldanamycin_hct,sorafenib,hct116,0.2177
doxorubicin,dactolisib,hct116,0.1268
ixabepilone,topotecan,hct116,-0.1151
etoposide,sorafenib,hct116,0.1319
topotecan,methotrexate,hct116,-0.1062
bortezomib,ixabepilone,hct116,-0.1471
valrubicin,cytarabine,hct116,-0.1117
methotrexate,fluorouracil,hct116,-0.1689
fluorouracil,temozolomide_hct,hct116,0.6147
fluorouracil,pemetrexed,hct116,-0.1566
bortezomib,methotrexate,hct116,-0.2327
ixabepilone,azacitidine,hct116,-0.392
vorinostat,sunitinib,hct116,0.1188
paclitaxel,fluorouracil,hct116,-0.0839
ixabepilone,cladribine,hct116,-0.2909
ixabepilone,gemcitabine_hct,hct116,-0.1094
methotrexate,dactinomycin,hct116,-0.194
mercaptopurine,methotrexate,hct116,-0.376
gemcitabine_hct,methotrexate,hct116,0.0305
etoposide,temozolomide_hct,hct116,0.5047
vinblastine,dactolisib,hct116,0.2931
ixabepilone,mepacrine,hct116,-0.4326
floxuridine,cabazitaxel,hct116,-0.1767
paclitaxel,bortezomib,hct116,0.0154
clofarabine,pemetrexed,hct116,0.0309
thioguanine,cabazitaxel,hct116,-0.3553
vorinostat,veliparib,hct116,0.3784
ixabepilone,romidepsin,hct116,-0.0564
cytarabine,cabazitaxel,hct116,-0.1837
ixabepilone,decitabine,hct116,-0.4873
mercaptopurine,cabazitaxel,hct116,-0.1764
mepacrine,methotrexate,hct116,-0.3944
ixabepilone,vorinostat,hct116,-0.4369
ixabepilone,dactinomycin,hct116,-0.2997
floxuridine,methotrexate,hct116,-0.2431
topotecan,fluorouracil,hct116,-0.0729
teniposide_hct,cabazitaxel,hct116,-0.3573
fluorouracil,daunorubicin,hct116,-0.1231
methotrexate,romidepsin,hct116,0.1343
valrubicin,romidepsin,hct116,-0.1401
paclitaxel,pemetrexed,hct116,-0.0943
thiotepa,methotrexate,hct116,-0.3489
ixabepilone,mercaptopurine,hct116,-0.3929
etoposide,cabazitaxel,hct116,-0.411
chlorambucil,fluorouracil,hct116,-0.2139
estramustinephosphatesodium,ixabepilone,hct116,-0.5424
methotrexate,thioguanine,hct116,-0.1814
topotecan,cabazitaxel,hct116,-0.1586
ixabepilone,floxuridine,hct116,-0.3583
mepacrine,cabazitaxel,hct116,-0.3013
ixabepilone,thiotepa,hct116,-0.5871
methotrexate,paclitaxel,hct116,-0.1179
mitoxantrone,pemetrexed,hct116,-0.0344
thiotepa,cabazitaxel,hct116,-0.2113
fluorouracil,exemestane,hct116,-0.0825
vinorelbine,bortezomib,hct116,-0.0235
clofarabine,mitoxantrone,hct116,0.0031
romidepsin,pemetrexed,hct116,-0.1762
floxuridine,pemetrexed,hct116,-0.0851
ixabepilone,doxorubicin,hct116,-0.5532
topotecan,valrubicin,hct116,-0.2333
sirolimus,methotrexate,hct116,-0.255
romidepsin,valrubicin,hct116,-0.0913
vinorelbine,cabazitaxel,hct116,-0.4706
decitabine,fluorouracil,hct116,-0.0309
fluorouracil,sorafenib,hct116,0.0867
methotrexate,vorinostat,hct116,-0.375
clofarabine,thioguanine,hct116,-0.0798
busulfan,methotrexate,hct116,-0.4614
ixabepilone,clofarabine,hct116,-0.4729
vinorelbine,pemetrexed,hct116,-0.156
exemestane,cabazitaxel,hct116,-0.4959
mepacrine,valrubicin,hct116,-0.0807
mercaptopurine,valrubicin,hct116,-0.1376
daunorubicin,cabazitaxel,hct116,-0.3609
methotrexate,vinorelbine,hct116,-0.184
decitabine,methotrexate,hct116,-0.4302
ixabepilone,docetaxel,hct116,-0.6448
methotrexate,docetaxel,hct116,-0.5129
ixabepilone,fludarabine,hct116,-0.6155
decitabine,cabazitaxel,hct116,-0.4947
sunitinib,veliparib,hct116,0.2399
ixabepilone,mitotane,hct116,-0.6492
